Cycle type:,,,,,m,m,m,m,u,m,m,m,m,u,u,u,u,u,u,u,c,c,u,u,u,u,u,u,u,u,c,c,u
Instruction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
"lw r12, 0(r4)",F,D,X,M,M,M,M,M,W,,,,,,,,,,,,,,,,,,,,,,,,
"lw r13, 0(r5)",,F,D,X,X,X,X,X,M,M,M,M,M,W,,,,,,,,,,,,,,,,,,,
"sw r12, 0(r5)",,,F,D,D,D,D,D,X,X,X,X,X,M,W,,,,,,,,,,,,,,,,,,
"sw r13, 0(r4)",,,,F,F,F,F,F,D,D,D,D,D,X,M,W,,,,,,,,,,,,,,,,,
"addiu r14, r5, 0",,,,,,,,,F,F,F,F,F,D,X,M,W,,,,,,,,,,,,,,,,
"addiu r4, r4, 4",,,,,,,,,,,,,,F,D,X,M,W,,,,,,,,,,,,,,,
"addiu r5, r5, -4",,,,,,,,,,,,,,,F,D,X,M,W,,,,,,,,,,,,,,
"bne r4, r14, loop",,,,,,,,,,,,,,,,F,D,X,M,W,,,,,,,,,,,,,
opA,,,,,,,,,,,,,,,,,F,D,-,-,-,,,,,,,,,,,,
opB,,,,,,,,,,,,,,,,,,F,-,-,-,-,,,,,,,,,,,
"lw r12, 0(r4)",,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,,,,,,,,
"lw r13, 0(r5)",,,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,,,,,,,
"sw r12, 0(r5)",,,,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,,,,,,
"sw r13, 0(r4)",,,,,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,,,,,
"addiu r14, r5, 0",,,,,,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,,,,
"addiu r4, r4, 4",,,,,,,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,,,
"addiu r5, r5, -4",,,,,,,,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,,
"bne r4, r14, loop",,,,,,,,,,,,,,,,,,,,,,,,,,F,D,X,M,W,,,
opA,,,,,,,,,,,,,,,,,,,,,,,,,,,F,D,-,-,-,,
opB,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,-,-,-,-,
"lw r12, 0(r4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,D,X,M,W